LIMIT_BAL,discrete(3)	SEX,discrete(3)	EDUCATION,discrete(3)	MARRIAGE,discrete(3)	AGE,discrete(3)	PAY_0,discrete(3)	PAY_2,discrete(3)	PAY_3,discrete(3)	PAY_4,discrete(3)	PAY_5,discrete(3)	PAY_6,discrete(3)	BILL_AMT1,discrete(3)	BILL_AMT2,discrete(3)	BILL_AMT3,discrete(3)	BILL_AMT4,discrete(3)	BILL_AMT5,discrete(3)	BILL_AMT6,discrete(3)	PAY_AMT1,discrete(3)	PAY_AMT2,discrete(3)	PAY_AMT3,discrete(3)	PAY_AMT4,discrete(3)	PAY_AMT5,discrete(3)	PAY_AMT6,discrete(3)	Default,discrete(3)
sample-15253	1	1	0	1	1	0	0	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	2	0
sample-15254	2	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15255	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
sample-15256	2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	2	1	1	0
sample-15257	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
sample-15258	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-15259	0	1	1	1	1	0	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	0
sample-15260	2	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0	2	0
sample-15261	2	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	2	2	2	2	1	2	0
sample-15262	2	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15263	0	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15264	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2
sample-15265	2	1	0	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15266	2	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	2	0	0	1	0
sample-15267	0	1	1	0	1	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
sample-15268	1	1	1	0	1	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	0
sample-15269	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
sample-15270	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15271	2	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0
sample-15272	2	1	1	0	2	0	0	0	0	1	0	0	0	0	1	2	0	0	0	2	2	1	2	0
sample-15273	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	2	2	2	0	2	2	0
sample-15274	1	1	2	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-15275	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
sample-15276	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
sample-15277	2	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	0
sample-15278	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
sample-15279	0	1	1	0	2	2	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	0	2	2
sample-15280	1	1	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	0
sample-15281	2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	2	2	2	2	2	1	0
sample-15282	2	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15283	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	1	2	0	0
sample-15284	2	1	0	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-15285	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
sample-15286	2	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	0
sample-15287	0	1	2	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
sample-15288	2	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	2	2	2	2	2	0
sample-15289	1	1	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15290	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	1	2	2	1	2	2	0
sample-15291	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-15292	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
sample-15293	1	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	2	0
sample-15294	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
sample-15295	0	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	1	0	1	0	2
sample-15296	2	1	2	0	2	2	0	1	1	1	0	0	0	0	1	0	0	2	1	1	0	1	1	0
sample-15297	2	1	1	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	1	0	2	0
sample-15298	2	1	0	1	1	0	0	2	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	0
sample-15299	2	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-15300	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15301	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15302	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
sample-15303	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-15304	1	1	2	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-15305	1	1	1	0	1	0	0	1	1	0	0	2	2	2	0	0	0	2	2	0	0	0	0	0
sample-15306	0	1	1	0	1	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2
sample-15307	1	1	1	1	2	0	0	1	2	1	1	2	2	2	2	2	2	2	2	0	1	1	1	0
sample-15308	0	1	2	0	2	2	2	2	2	2	1	1	1	1	1	1	1	0	1	0	0	1	2	0
sample-15309	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	2	2	2	1	0
sample-15310	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	0	2	2	2	0	2	0
sample-15311	2	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
sample-15312	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
sample-15313	0	1	2	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
sample-15314	1	1	0	0	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15315	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
sample-15316	2	1	0	0	2	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-15317	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
sample-15318	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
sample-15319	2	1	0	1	1	0	0	0	0	1	1	0	0	1	2	2	0	1	2	2	1	0	1	0
sample-15320	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
sample-15321	2	1	1	0	2	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	0
sample-15322	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sample-15323	1	1	2	1	2	0	0	1	1	0	0	1	1	1	1	0	0	0	1	2	1	0	0	0
sample-15324	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	2
sample-15325	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	0
sample-15326	1	1	2	2	2	0	0	0	0	1	0	1	2	0	0	0	0	2	0	1	0	1	2	0
sample-15327	1	1	2	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-15328	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
sample-15329	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0
sample-15330	2	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15331	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15332	1	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	2	2	2	0
sample-15333	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
sample-15334	2	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15335	1	1	0	1	2	0	0	0	1	1	0	2	2	0	0	0	0	2	2	1	0	0	0	0
sample-15336	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sample-15337	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	2	2	2	0
sample-15338	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	2	2	2	0
sample-15339	1	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15340	0	1	1	0	2	0	0	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	0	0
sample-15341	1	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15342	1	1	1	0	0	2	2	0	1	1	1	1	0	0	1	1	1	0	2	2	2	2	2	0
sample-15343	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
sample-15344	1	1	1	1	1	0	0	1	2	1	1	2	2	2	2	2	2	2	2	0	2	2	0	0
sample-15345	2	1	0	0	1	0	0	0	1	1	1	0	0	1	1	2	1	1	2	2	2	1	2	0
sample-15346	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0
sample-15347	0	1	1	1	2	0	0	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	0
sample-15348	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	2	2	0	0
sample-15349	2	1	2	0	2	0	0	1	1	1	0	0	0	0	0	0	1	2	0	0	1	2	1	0
sample-15350	0	1	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	0	2	0	1	2
sample-15351	1	1	2	0	2	0	0	0	2	2	2	0	0	0	0	0	0	1	1	0	1	0	2	0
sample-15352	1	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15353	2	1	0	0	2	2	2	2	1	1	2	2	2	1	1	2	2	2	0	2	2	0	2	0
sample-15354	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	2	1	1	0
sample-15355	2	1	0	0	1	0	0	0	0	0	0	0	1	1	2	1	2	2	2	2	2	2	2	0
sample-15356	2	1	1	0	1	0	0	1	2	1	1	2	2	2	2	2	0	2	2	0	2	1	0	0
sample-15357	2	1	0	1	1	2	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0
sample-15358	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	0
sample-15359	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sample-15360	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
sample-15361	2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0
sample-15362	2	1	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15363	2	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	2	2	1	0
sample-15364	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0
sample-15365	0	1	2	1	2	2	2	1	1	1	1	2	2	2	2	1	1	0	2	1	1	1	1	2
sample-15366	2	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
sample-15367	0	1	0	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15368	2	1	0	0	2	2	2	1	1	1	2	1	1	1	1	2	2	0	1	1	1	1	1	2
sample-15369	1	1	1	0	2	0	0	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	0
sample-15370	2	1	0	1	0	0	0	0	0	1	1	1	0	0	2	2	2	2	1	2	2	2	2	0
sample-15371	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	2	2	0	2	2	0
sample-15372	2	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15373	2	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0
sample-15374	2	1	2	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	0
sample-15375	2	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15376	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15377	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15378	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sample-15379	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	0
sample-15380	2	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	0
sample-15381	1	1	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15382	2	1	1	0	1	2	2	1	1	1	1	2	2	2	2	2	2	0	2	2	2	2	2	0
sample-15383	0	1	2	0	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0	0	1	1	2
sample-15384	1	1	1	0	2	0	0	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0
sample-15385	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15386	0	1	2	0	2	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0
sample-15387	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	0	0
sample-15388	2	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15389	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15390	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0
sample-15391	2	1	1	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15392	0	1	2	0	2	0	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2
sample-15393	2	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
sample-15394	1	1	2	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-15395	1	1	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15396	0	1	2	0	2	0	0	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0
sample-15397	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	2	2	1	0	2	2	2	0	0
sample-15398	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2
sample-15399	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15400	2	1	1	0	2	2	2	2	1	1	1	1	1	1	1	2	2	1	0	2	1	1	2	0
sample-15401	2	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	2	2
sample-15402	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	1	2	1	1	1	0
sample-15403	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15404	2	1	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0
sample-15405	1	1	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
sample-15406	0	1	2	0	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	0	1	2	2	0
sample-15407	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	2	0
sample-15408	0	1	2	1	2	0	0	1	1	1	1	1	1	2	1	0	0	1	1	2	0	0	0	0
sample-15409	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15410	0	1	1	0	2	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0
sample-15411	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15412	2	1	0	0	2	2	0	0	0	0	1	0	1	1	1	2	2	2	2	2	2	0	0	0
sample-15413	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
sample-15414	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
sample-15415	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	2	2	1	0
sample-15416	2	1	0	2	2	2	0	0	0	0	0	1	1	0	0	1	1	2	2	2	2	2	0	0
sample-15417	2	1	1	0	2	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15418	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
sample-15419	0	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
sample-15420	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0
sample-15421	2	1	1	0	2	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-15422	2	1	0	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15423	0	0	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	0
sample-15424	2	0	1	0	0	2	2	2	1	1	1	2	2	2	2	2	1	2	0	1	1	1	1	2
sample-15425	2	1	1	0	2	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
sample-15426	0	0	1	1	1	0	0	1	1	0	0	2	2	1	0	0	0	1	0	0	0	0	2	2
sample-15427	2	0	1	0	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15428	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0
sample-15429	1	0	1	0	0	0	0	2	1	1	1	1	2	2	2	2	0	2	0	1	0	0	1	0
sample-15430	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	0
sample-15431	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-15432	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-15433	2	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	2	2	2	0
sample-15434	0	0	1	1	0	0	0	0	0	1	1	2	1	0	1	2	2	2	2	2	2	1	1	0
sample-15435	0	0	1	1	0	0	0	1	2	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0
sample-15436	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1	1	0
sample-15437	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
sample-15438	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15439	1	0	1	1	0	2	2	1	1	1	1	2	2	2	2	2	2	0	2	2	2	2	2	2
sample-15440	1	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	0	1	2	2	2	1	2	0
sample-15441	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	2	1	0	2	2
sample-15442	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0
sample-15443	0	0	2	1	0	2	2	2	1	1	1	1	1	1	2	2	2	1	0	2	1	1	2	2
sample-15444	0	0	2	1	0	0	0	1	1	0	0	2	2	2	0	0	0	1	1	0	0	0	0	0
sample-15445	0	0	0	1	0	0	0	2	2	2	1	1	1	2	2	2	2	1	1	1	0	1	1	0
sample-15446	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0
sample-15447	0	0	1	1	0	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2
sample-15448	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15449	1	0	0	1	0	0	0	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	2	0
sample-15450	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0
sample-15451	2	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	0
sample-15452	1	0	0	1	0	0	0	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	0
sample-15453	2	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15454	0	0	1	1	0	2	2	2	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	2
sample-15455	0	0	1	1	0	2	2	1	1	1	1	1	1	1	1	1	0	0	1	2	1	0	0	0
sample-15456	1	0	0	1	0	0	0	0	0	0	0	1	1	2	1	2	2	2	2	2	2	2	2	0
sample-15457	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15458	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15459	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15460	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	1	0
sample-15461	0	0	2	1	2	2	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
sample-15462	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-15463	2	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15464	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	2	1	1	2	2	2	0
sample-15465	1	0	2	1	0	0	0	1	1	0	0	2	2	2	0	0	0	2	2	0	0	0	0	0
sample-15466	2	0	0	1	0	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15467	2	0	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0
sample-15468	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15469	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	0	2	0	2	2
sample-15470	2	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15471	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
sample-15472	2	0	1	0	1	0	0	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	0
sample-15473	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sample-15474	2	0	1	0	2	0	0	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0
sample-15475	0	0	2	0	2	2	2	2	2	0	0	2	2	2	0	0	0	1	0	0	0	0	0	2
sample-15476	0	0	1	0	2	0	0	1	1	1	0	2	2	2	2	1	2	1	1	1	1	2	1	0
sample-15477	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-15478	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	1	2	0
sample-15479	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sample-15480	1	0	0	0	1	2	2	1	1	1	1	2	2	2	2	2	2	0	1	1	2	2	0	2
sample-15481	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	2	2	2	2	1	2	2
sample-15482	0	0	2	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	2	1	0	0	0	0
sample-15483	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15484	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-15485	2	0	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15486	1	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	1	1	2	0
sample-15487	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15488	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-15489	0	0	2	0	0	0	0	1	1	2	1	1	1	2	2	2	1	2	2	2	0	1	0	0
sample-15490	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	2	1	0	2
sample-15491	1	0	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-15492	0	0	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2
sample-15493	1	0	1	0	1	0	0	1	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0
sample-15494	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2
sample-15495	0	0	2	1	0	2	2	2	2	2	2	0	0	0	1	1	1	0	1	0	1	0	1	0
sample-15496	0	0	1	0	2	0	0	1	0	0	0	1	1	1	0	1	0	0	2	2	2	0	0	0
sample-15497	1	0	1	0	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	0	2	1	2
sample-15498	2	0	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-15499	0	0	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	0	1	1	1	1	1	0
sample-15500	0	0	1	0	0	2	2	2	1	1	1	1	2	2	2	1	2	2	0	1	1	1	1	2
sample-15501	2	0	0	0	1	2	0	0	2	0	0	0	0	1	0	1	1	2	1	0	2	2	0	0
sample-15502	1	0	1	0	2	0	0	2	1	1	1	2	2	2	2	2	2	2	0	1	1	1	1	0
sample-15503	2	0	2	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2
sample-15504	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
